Day in November,Flow Rate (m^3/s),Height (m)
21,8.55,1.259
21.01041667,8.74,1.264
21.02083333,8.92,1.269
21.03125,9.1,1.274
21.04166667,9.29,1.279
21.05208333,9.44,1.283
21.0625,9.59,1.287
21.07291667,9.7,1.29
21.08333333,9.82,1.293
21.09375,9.93,1.296
21.10416667,10,1.299
21.11458333,10.2,1.303
21.125,10.3,1.306
21.13541667,10.5,1.31
21.14583333,10.7,1.315
21.15625,10.9,1.32
21.16666667,11,1.324
21.17708333,11.2,1.329
21.1875,11.4,1.333
21.19791667,11.6,1.338
21.20833333,11.8,1.345
21.21875,12,1.35
21.22916667,12.3,1.355
21.23958333,12.4,1.359
21.25,12.5,1.362
21.26041667,12.7,1.365
21.27083333,12.8,1.368
21.28125,12.9,1.372
21.29166667,13.2,1.378
21.30208333,13.4,1.383
21.3125,13.6,1.388
21.32291667,13.8,1.393
21.33333333,14,1.398
21.34375,14.3,1.404
21.35416667,14.7,1.413
21.36458333,15.2,1.426
21.375,15.9,1.441
21.38541667,16.9,1.463
21.39583333,18.1,1.49
21.40625,19.2,1.514
21.41666667,20.2,1.535
21.42708333,21,1.553
21.4375,22.1,1.575
21.44791667,23.2,1.597
21.45833333,24.3,1.62
21.46875,25.6,1.645
21.47916667,26.9,1.67
21.48958333,28.6,1.702
21.5,30.4,1.736
21.51041667,32.5,1.775
21.52083333,34.3,1.807
21.53125,35.9,1.837
21.54166667,37.6,1.866
21.55208333,39.1,1.892
21.5625,40.5,1.915
21.57291667,41.6,1.934
21.58333333,42.6,1.952
21.59375,43.5,1.967
21.60416667,44.7,1.986
21.61458333,45.8,2.004
21.625,46.8,2.02
21.63541667,47.8,2.036
21.64583333,48.7,2.051
21.65625,49.7,2.068
21.66666667,50.6,2.081
21.67708333,51.5,2.096
21.6875,52.2,2.107
21.69791667,53,2.12
21.70833333,53.9,2.133
21.71875,55.4,2.157
21.72916667,57.1,2.183
21.73958333,58,2.197
21.75,58.4,2.203
21.76041667,59.1,2.213
21.77083333,59.5,2.22
21.78125,60,2.227
21.79166667,60.7,2.237
21.80208333,61.3,2.246
21.8125,62.1,2.258
21.82291667,62.7,2.268
21.83333333,63.2,2.275
21.84375,63.8,2.284
21.85416667,64.2,2.29
21.86458333,64.8,2.299
21.875,65.3,2.306
21.88541667,65.8,2.313
21.89583333,66.3,2.321
21.90625,66.6,2.325
21.91666667,67.3,2.335
21.92708333,67.7,2.34
21.9375,68,2.345
21.94791667,68.4,2.351
21.95833333,68.7,2.355
21.96875,69.1,2.361
21.97916667,69.6,2.368
21.98958333,69.8,2.371
22,70.1,2.375
22.01041667,70.1,2.376
22.02083333,70.5,2.381
22.03125,70.7,2.384
22.04166667,71.1,2.39
22.05208333,71.3,2.393
22.0625,71.5,2.395
22.07291667,71.8,2.4
22.08333333,72.1,2.404
22.09375,72.2,2.405
22.10416667,72.5,2.41
22.11458333,72.7,2.413
22.125,72.9,2.416
22.13541667,73.2,2.42
22.14583333,73.5,2.424
22.15625,73.8,2.428
22.16666667,73.9,2.43
22.17708333,74.4,2.436
22.1875,74.4,2.436
22.19791667,74.8,2.442
22.20833333,74.9,2.443
22.21875,75.2,2.448
22.22916667,75.6,2.454
22.23958333,76,2.459
22.25,76.9,2.471
22.26041667,77.5,2.48
22.27083333,79.2,2.503
22.28125,80.8,2.525
22.29166667,83.2,2.559
22.30208333,85.5,2.59
22.3125,87.8,2.62
22.32291667,90,2.65
22.33333333,92.4,2.681
22.34375,95.3,2.719
22.35416667,98.7,2.764
22.36458333,102,2.807
22.375,105,2.839
22.38541667,107,2.873
22.39583333,110,2.902
22.40625,112,2.931
22.41666667,114,2.955
22.42708333,115,2.974
22.4375,117,2.994
22.44791667,118,3.01
22.45833333,120,3.026
22.46875,120,3.036
22.47916667,121,3.047
22.48958333,122,3.055
22.5,122,3.06
22.51041667,123,3.062
22.52083333,123,3.063
22.53125,123,3.067
22.54166667,123,3.068
22.55208333,123,3.065
22.5625,123,3.065
22.57291667,123,3.061
22.58333333,122,3.059
22.59375,122,3.056
22.60416667,122,3.053
22.61458333,121,3.046
22.625,121,3.039
22.63541667,120,3.035
22.64583333,120,3.029
22.65625,119,3.024
22.66666667,119,3.016
22.67708333,118,3.012
22.6875,118,3.007
22.69791667,118,3.002
22.70833333,117,2.993
22.71875,117,2.99
22.72916667,116,2.983
22.73958333,116,2.978
22.75,115,2.973
22.76041667,115,2.968
22.77083333,115,2.963
22.78125,114,2.96
22.79166667,114,2.958
22.80208333,114,2.958
22.8125,114,2.957
22.82291667,114,2.953
22.83333333,114,2.954
22.84375,114,2.957
22.85416667,114,2.958
22.86458333,115,2.963
22.875,115,2.965
22.88541667,115,2.97
22.89583333,115,2.975
22.90625,116,2.979
22.91666667,116,2.981
22.92708333,116,2.984
22.9375,117,2.988
22.94791667,117,2.992
22.95833333,117,2.993
22.96875,117,2.995
22.97916667,117,2.998
22.98958333,118,3
23,118,3.004
23.01041667,118,3.004
23.02083333,118,3.005
23.03125,118,3.008
23.04166667,118,3.012
23.05208333,119,3.013
23.0625,119,3.016
23.07291667,119,3.02
23.08333333,119,3.022
23.09375,119,3.023
23.10416667,120,3.027
23.11458333,120,3.03
23.125,120,3.03
23.13541667,120,3.035
23.14583333,120,3.033
23.15625,121,3.037
23.16666667,121,3.037
23.17708333,121,3.038
23.1875,121,3.038
23.19791667,121,3.038
23.20833333,121,3.037
23.21875,120,3.034
23.22916667,120,3.032
23.23958333,120,3.031
23.25,120,3.028
23.26041667,120,3.026
23.27083333,119,3.022
23.28125,119,3.019
23.29166667,119,3.015
23.30208333,119,3.014
23.3125,118,3.007
23.32291667,118,3.003
23.33333333,118,3
23.34375,117,2.993
23.35416667,117,2.988
23.36458333,116,2.983
23.375,116,2.977
23.38541667,115,2.97
23.39583333,115,2.963
23.40625,114,2.959
23.41666667,114,2.951
23.42708333,113,2.945
23.4375,113,2.941
23.44791667,112,2.935
23.45833333,112,2.926
23.46875,111,2.92
23.47916667,111,2.915
23.48958333,110,2.906
23.5,110,2.901
23.51041667,109,2.894
23.52083333,108,2.888
23.53125,108,2.882
23.54166667,107,2.873
23.55208333,107,2.868
23.5625,106,2.86
23.57291667,106,2.855
23.58333333,105,2.85
23.59375,105,2.843
23.60416667,105,2.839
23.61458333,104,2.831
23.625,103,2.824
23.63541667,103,2.819
23.64583333,103,2.817
23.65625,102,2.812
23.66666667,102,2.805
23.67708333,102,2.805
23.6875,102,2.801
23.69791667,101,2.798
23.70833333,101,2.796
23.71875,101,2.795
23.72916667,101,2.794
23.73958333,101,2.794
23.75,101,2.796
23.76041667,101,2.796
23.77083333,101,2.797
23.78125,102,2.8
23.79166667,102,2.802
23.80208333,102,2.806
23.8125,102,2.808
23.82291667,102,2.81
23.83333333,102,2.812
23.84375,103,2.815
23.85416667,103,2.819
23.86458333,103,2.822
23.875,103,2.821
23.88541667,103,2.824
23.89583333,104,2.826
23.90625,104,2.826
23.91666667,104,2.826
23.92708333,104,2.827
23.9375,104,2.826
23.94791667,104,2.826
23.95833333,103,2.824
23.96875,103,2.82
23.97916667,103,2.818
23.98958333,103,2.814
24,102,2.812
24.01041667,102,2.805
24.02083333,102,2.8
24.03125,101,2.795
24.04166667,101,2.792
24.05208333,100,2.784
24.0625,99.9,2.779
24.07291667,99.3,2.771
24.08333333,98.9,2.766
24.09375,98.4,2.76
24.10416667,97.9,2.753
24.11458333,97.2,2.744
24.125,96.5,2.735
24.13541667,95.9,2.728
24.14583333,95.4,2.721
24.15625,94.7,2.712
24.16666667,94.1,2.704
24.17708333,93.3,2.694
24.1875,92.7,2.686
24.19791667,92.1,2.677
24.20833333,91.5,2.67
24.21875,91,2.663
24.22916667,90.2,2.653
24.23958333,89.6,2.644
24.25,89.1,2.638
24.26041667,88.4,2.629
24.27083333,88,2.623
24.28125,87.5,2.616
24.29166667,86.8,2.607
24.30208333,86.4,2.601
24.3125,85.8,2.594
24.32291667,85.3,2.587
24.33333333,84.7,2.579
24.34375,84.2,2.572
24.35416667,83.8,2.567
24.36458333,83.2,2.558
24.375,82.7,2.552
24.38541667,82.4,2.547
24.39583333,81.9,2.541
24.40625,81.5,2.535
24.41666667,81.1,2.529
24.42708333,80.6,2.523
24.4375,80.2,2.517
24.44791667,79.7,2.511
24.45833333,79.3,2.505
24.46875,78.9,2.499
24.47916667,78.4,2.493
24.48958333,78.1,2.488
24.5,77.8,2.484
24.51041667,77.3,2.477
24.52083333,77,2.473
24.53125,76.5,2.466
24.54166667,76.1,2.461
24.55208333,75.8,2.456
24.5625,75.5,2.452
24.57291667,75.1,2.447
24.58333333,74.8,2.442
24.59375,74.5,2.438
24.60416667,74.2,2.434
24.61458333,73.9,2.429
24.625,73.7,2.426
24.63541667,73.4,2.423
24.64583333,72.9,2.416
24.65625,72.7,2.413
24.66666667,72.3,2.407
24.67708333,72,2.402
24.6875,71.5,2.396
24.69791667,71.3,2.393
24.70833333,71.1,2.389
24.71875,70.5,2.381
24.72916667,70.1,2.376
24.73958333,69.9,2.373
24.75,69.7,2.37
24.76041667,69.4,2.366
24.77083333,69.3,2.364
24.78125,69.2,2.362
24.79166667,69,2.36
24.80208333,68.8,2.356
24.8125,68.5,2.353
24.82291667,68.1,2.347
24.83333333,67.9,2.343
24.84375,67.4,2.336
24.85416667,67.1,2.332
24.86458333,66.7,2.326
24.875,66.5,2.323
24.88541667,66.2,2.319
24.89583333,66.1,2.318
24.90625,66.1,2.318
24.91666667,66.6,2.325
24.92708333,67.1,2.332
24.9375,67.9,2.344
24.94791667,68.2,2.348
24.95833333,68.4,2.351
24.96875,68.2,2.348
24.97916667,68,2.345
24.98958333,67.6,2.339
25,67.2,2.334
25.01041667,66.9,2.329
25.02083333,67,2.331
25.03125,67.5,2.338
25.04166667,68.2,2.348
25.05208333,69.9,2.372
25.0625,71,2.388
25.07291667,72.2,2.406
25.08333333,73.8,2.428
25.09375,75,2.445
25.10416667,75.9,2.458
25.11458333,76.4,2.465
25.125,76.6,2.468
25.13541667,76.9,2.471
25.14583333,76.9,2.471
25.15625,77,2.473
25.16666667,77.1,2.474
25.17708333,77.3,2.477
25.1875,77.6,2.481
25.19791667,78.2,2.489
25.20833333,78.7,2.496
25.21875,79.2,2.503
25.22916667,79.7,2.511
25.23958333,80.4,2.52
25.25,80.9,2.527
25.26041667,81.6,2.537
25.27083333,82.1,2.543
25.28125,82.7,2.551
25.29166667,83.1,2.557
25.30208333,83.7,2.565
25.3125,84.3,2.573
25.32291667,84.9,2.582
25.33333333,85.5,2.59
25.34375,86.1,2.597
25.35416667,86.7,2.606
25.36458333,87.1,2.611
25.375,87.9,2.622
25.38541667,88.5,2.63
25.39583333,89,2.636
25.40625,89.5,2.643
25.41666667,90.3,2.654
25.42708333,90.8,2.661
25.4375,91.8,2.674
25.44791667,92.5,2.683
25.45833333,93.6,2.697
25.46875,94.3,2.707
25.47916667,95.1,2.717
25.48958333,96.1,2.73
25.5,96.9,2.74
25.51041667,97.3,2.746
25.52083333,98.3,2.758
25.53125,99.1,2.769
25.54166667,99.9,2.779
25.55208333,101,2.789
25.5625,101,2.797
25.57291667,102,2.807
25.58333333,103,2.815
25.59375,103,2.823
25.60416667,104,2.83
25.61458333,105,2.839
25.625,105,2.844
25.63541667,105,2.85
25.64583333,106,2.858
25.65625,106,2.861
25.66666667,107,2.87
25.67708333,107,2.873
25.6875,108,2.876
25.69791667,108,2.881
25.70833333,108,2.888
25.71875,109,2.891
25.72916667,109,2.895
25.73958333,110,2.901
25.75,110,2.911
25.76041667,111,2.92
25.77083333,112,2.935
25.78125,114,2.952
25.79166667,115,2.97
25.80208333,117,2.988
25.8125,118,3.007
25.82291667,120,3.033
25.83333333,122,3.056
25.84375,124,3.08
25.85416667,126,3.102
25.86458333,128,3.124
25.875,130,3.145
25.88541667,131,3.163
25.89583333,132,3.178
25.90625,134,3.198
25.91666667,135,3.212
25.92708333,137,3.228
25.9375,138,3.241
25.94791667,139,3.251
25.95833333,140,3.263
25.96875,140,3.272
25.97916667,141,3.282
25.98958333,142,3.287
26,142,3.295
26.01041667,143,3.3
26.02083333,143,3.304
26.03125,143,3.306
26.04166667,144,3.31
26.05208333,144,3.313
26.0625,144,3.315
26.07291667,144,3.315
26.08333333,144,3.315
26.09375,144,3.313
26.10416667,144,3.315
26.11458333,144,3.315
26.125,144,3.314
26.13541667,144,3.312
26.14583333,144,3.31
26.15625,144,3.31
26.16666667,144,3.31
26.17708333,144,3.309
26.1875,144,3.31
26.19791667,144,3.31
26.20833333,144,3.31
26.21875,144,3.309
26.22916667,144,3.312
26.23958333,144,3.311
26.25,144,3.312
26.26041667,144,3.314
26.27083333,144,3.314
26.28125,144,3.316
26.29166667,144,3.318
26.30208333,144,3.316
26.3125,144,3.315
26.32291667,144,3.318
26.33333333,144,3.317
26.34375,144,3.317
26.35416667,144,3.317
26.36458333,144,3.314
26.375,144,3.314
26.38541667,144,3.31
26.39583333,144,3.309
26.40625,143,3.304
26.41666667,143,3.304
26.42708333,143,3.298
26.4375,142,3.293
26.44791667,142,3.286
26.45833333,142,3.285
26.46875,141,3.276
26.47916667,140,3.271
26.48958333,140,3.264
26.5,139,3.258
26.51041667,138,3.249
26.52083333,138,3.242
26.53125,137,3.235
26.54166667,137,3.227
26.55208333,136,3.218
26.5625,135,3.212
26.57291667,134,3.2
26.58333333,133,3.19
26.59375,133,3.181
26.60416667,132,3.171
26.61458333,131,3.161
26.625,130,3.152
26.63541667,129,3.141
26.64583333,128,3.13
26.65625,127,3.12
26.66666667,126,3.108
26.67708333,126,3.099
26.6875,125,3.088
26.69791667,124,3.077
26.70833333,123,3.065
26.71875,122,3.053
26.72916667,121,3.042
26.73958333,120,3.031
26.75,119,3.022
26.76041667,118,3.007
26.77083333,117,2.997
26.78125,116,2.985
26.79166667,115,2.975
26.80208333,114,2.962
26.8125,114,2.952
26.82291667,113,2.94
26.83333333,112,2.93
26.84375,111,2.916
26.85416667,110,2.904
26.86458333,109,2.895
26.875,108,2.884
26.88541667,107,2.873
26.89583333,106,2.863
26.90625,105,2.85
26.91666667,105,2.839
26.92708333,104,2.83
26.9375,103,2.819
26.94791667,102,2.809
26.95833333,101,2.796
26.96875,100,2.785
26.97916667,99.7,2.776
26.98958333,98.8,2.765
27,98.2,2.757
27.01041667,97.3,2.746
27.02083333,96.6,2.736
27.03125,95.8,2.726
27.04166667,95,2.716
27.05208333,94.4,2.708
27.0625,93.7,2.699
27.07291667,93,2.69
27.08333333,92.4,2.681
27.09375,91.7,2.672
27.10416667,90.8,2.661
27.11458333,90.2,2.653
27.125,89.4,2.642
27.13541667,88.7,2.632
27.14583333,88,2.623
27.15625,87.4,2.615
27.16666667,86.5,2.603
27.17708333,85.6,2.591
27.1875,84.9,2.581
27.19791667,84,2.569
27.20833333,83.2,2.559
27.21875,82.4,2.548
27.22916667,81.5,2.535
27.23958333,80.9,2.527
27.25,80,2.514
27.26041667,79.4,2.506
27.27083333,78.6,2.495
27.28125,77.7,2.483
27.29166667,77.1,2.475
27.30208333,76.3,2.463
27.3125,75.6,2.453
27.32291667,74.7,2.441
27.33333333,73.9,2.429
27.34375,73.2,2.419
27.35416667,72.5,2.409
27.36458333,71.8,2.399
27.375,71.1,2.39
27.38541667,70.5,2.381
27.39583333,69.7,2.37
27.40625,69,2.359
27.41666667,68.3,2.349
27.42708333,67.7,2.341
27.4375,67.2,2.333
27.44791667,66.6,2.325
27.45833333,66,2.316
27.46875,65.6,2.31
27.47916667,64.8,2.299
27.48958333,64.4,2.292
27.5,63.8,2.284
27.51041667,63.4,2.277
27.52083333,62.9,2.27
27.53125,62.5,2.265
27.54166667,61.9,2.255
27.55208333,61.5,2.249
27.5625,61,2.242
27.57291667,60.6,2.236
27.58333333,60,2.227
27.59375,59.8,2.224
27.60416667,59.3,2.217
27.61458333,58.9,2.21
27.625,58.5,2.204
27.63541667,58.2,2.199
27.64583333,57.8,2.193
27.65625,57.2,2.185
27.66666667,56.8,2.179
27.67708333,56.5,2.174
27.6875,55.9,2.165
27.69791667,55.6,2.16
27.70833333,55.1,2.152
27.71875,54.7,2.146
27.72916667,54.4,2.141
27.73958333,54,2.135
27.75,53.5,2.128
27.76041667,53,2.119
27.77083333,52.8,2.116
27.78125,52.3,2.108
27.79166667,52,2.103
27.80208333,51.6,2.097
27.8125,51.2,2.091
27.82291667,50.7,2.083
27.83333333,50.4,2.078
27.84375,50.1,2.074
27.85416667,49.7,2.068
27.86458333,49.4,2.062
27.875,49.1,2.057
27.88541667,48.7,2.052
27.89583333,48.5,2.048
27.90625,48.2,2.043
27.91666667,47.9,2.038
27.92708333,47.6,2.033
27.9375,47.4,2.03
27.94791667,47.1,2.025
27.95833333,46.9,2.023
27.96875,46.6,2.017
27.97916667,46.5,2.015
27.98958333,46.3,2.012
28,46,2.007
28.01041667,45.8,2.005
28.02083333,45.5,2
28.03125,45.4,1.998
28.04166667,45.2,1.994
28.05208333,45.1,1.992
28.0625,44.9,1.99
28.07291667,44.7,1.986
28.08333333,44.6,1.985
28.09375,44.4,1.981
28.10416667,44.2,1.978
28.11458333,44,1.975
28.125,43.8,1.972
28.13541667,43.5,1.967
28.14583333,43.4,1.964
28.15625,43.2,1.962
28.16666667,42.9,1.957
28.17708333,42.8,1.955
28.1875,42.6,1.951
28.19791667,42.4,1.948
28.20833333,42.2,1.945
28.21875,42,1.941
28.22916667,41.8,1.937
28.23958333,41.6,1.935
28.25,41.3,1.93
28.26041667,41.2,1.927
28.27083333,40.9,1.923
28.28125,40.7,1.919
28.29166667,40.5,1.916
28.30208333,40.4,1.914
28.3125,40,1.908
28.32291667,39.9,1.905
28.33333333,39.8,1.904
28.34375,39.6,1.9
28.35416667,39.2,1.894
28.36458333,39.2,1.893
28.375,38.9,1.889
28.38541667,38.8,1.886
28.39583333,38.5,1.882
28.40625,38.4,1.879
28.41666667,38.2,1.876
28.42708333,37.9,1.872
28.4375,37.8,1.869
28.44791667,37.6,1.866
28.45833333,37.5,1.864
28.46875,37.3,1.86
28.47916667,37.2,1.859
28.48958333,37.1,1.857
28.5,37,1.855
28.51041667,36.9,1.854
28.52083333,36.6,1.849
28.53125,36.6,1.849
28.54166667,36.5,1.846
28.55208333,36.3,1.844
28.5625,36.2,1.841
28.57291667,36.1,1.839
28.58333333,35.9,1.837
28.59375,35.7,1.833
28.60416667,35.7,1.832
28.61458333,35.6,1.831
28.625,35.4,1.828
28.63541667,35.3,1.826
28.64583333,35.2,1.823
28.65625,35,1.821
28.66666667,34.9,1.818
28.67708333,34.8,1.816
28.6875,34.7,1.814
28.69791667,34.5,1.811
28.70833333,34.4,1.809
28.71875,34.3,1.807
28.72916667,34,1.803
28.73958333,33.8,1.799
28.75,33.7,1.797
28.76041667,33.5,1.794
28.77083333,33.4,1.792
28.78125,33.2,1.787
28.79166667,33,1.785
28.80208333,32.9,1.783
28.8125,32.7,1.778
28.82291667,32.5,1.776
28.83333333,32.4,1.773
28.84375,32.2,1.77
28.85416667,32.1,1.767
28.86458333,31.9,1.765
28.875,31.8,1.762
28.88541667,31.6,1.759
28.89583333,31.4,1.755
28.90625,31.3,1.753
28.91666667,31.2,1.751
28.92708333,31.1,1.749
28.9375,31,1.748
28.94791667,30.8,1.744
28.95833333,30.8,1.744
28.96875,30.7,1.743
28.97916667,30.6,1.74
28.98958333,30.5,1.738
29,30.3,1.735
29.01041667,30.3,1.734
29.02083333,30.1,1.731
29.03125,29.9,1.728
29.04166667,29.8,1.725
29.05208333,29.7,1.723
29.0625,29.5,1.72
29.07291667,29.3,1.716
29.08333333,29.1,1.712
29.09375,28.9,1.709
29.10416667,28.7,1.704
29.11458333,28.5,1.7
29.125,28.2,1.695
29.13541667,27.9,1.69
29.14583333,27.8,1.687
29.15625,27.5,1.681
29.16666667,27.2,1.676
29.17708333,26.9,1.671
29.1875,26.7,1.666
29.19791667,26.4,1.661
29.20833333,26.2,1.657
29.21875,25.9,1.651
29.22916667,25.7,1.646
29.23958333,25.4,1.641
29.25,25.1,1.635
29.26041667,24.9,1.631
29.27083333,24.6,1.626
29.28125,24.4,1.621
29.29166667,24.2,1.617
29.30208333,23.9,1.612
29.3125,23.6,1.606
29.32291667,23.4,1.602
29.33333333,23.3,1.599
29.34375,23,1.594
29.35416667,22.9,1.591
29.36458333,22.6,1.586
29.375,22.5,1.582
29.38541667,22.3,1.578
29.39583333,22.1,1.575
29.40625,21.9,1.57
29.41666667,21.7,1.566
29.42708333,21.5,1.563
29.4375,21.4,1.561
29.44791667,21.2,1.556
29.45833333,21.1,1.554
29.46875,21.8,1.569
29.47916667,22.9,1.592
29.48958333,23.5,1.604
29.5,23.8,1.609
29.51041667,23.9,1.611
29.52083333,23.9,1.612
29.53125,24,1.613
29.54166667,23.9,1.611
29.55208333,23.8,1.61
29.5625,23.8,1.609
29.57291667,23.7,1.607
29.58333333,23.6,1.605
29.59375,23.5,1.603
29.60416667,23.4,1.602
29.61458333,23.4,1.601
29.625,23.2,1.598
29.63541667,23.2,1.597
29.64583333,23.1,1.596
29.65625,23,1.594
29.66666667,22.9,1.592
29.67708333,22.8,1.59
29.6875,22.7,1.587
29.69791667,22.6,1.585
29.70833333,22.5,1.582
29.71875,22.3,1.579
29.72916667,22.2,1.576
29.73958333,22.1,1.574
29.75,22,1.572
29.76041667,21.8,1.568
29.77083333,21.6,1.565
29.78125,21.6,1.564
29.79166667,21.5,1.562
29.80208333,21.3,1.558
29.8125,21.2,1.556
29.82291667,21.1,1.554
29.83333333,21,1.551
29.84375,20.9,1.55
29.85416667,20.8,1.548
29.86458333,20.7,1.546
29.875,20.6,1.544
29.88541667,20.6,1.543
29.89583333,20.6,1.543
29.90625,20.5,1.541
29.91666667,20.4,1.54
29.92708333,20.4,1.54
29.9375,20.4,1.539
29.94791667,20.4,1.539
29.95833333,20.3,1.538
29.96875,20.3,1.537
29.97916667,20.3,1.538
29.98958333,20.3,1.537
30,20.3,1.537
30.01041667,20.3,1.537
30.02083333,20.2,1.536
30.03125,20.2,1.535
30.04166667,20.2,1.536
30.05208333,20.2,1.535
30.0625,20.1,1.533
30.07291667,20,1.532
30.08333333,20,1.531
30.09375,19.9,1.528
30.10416667,19.8,1.526
30.11458333,19.7,1.524
30.125,19.5,1.521
30.13541667,19.4,1.518
30.14583333,19.2,1.515
30.15625,19.2,1.513
30.16666667,19,1.51
30.17708333,18.8,1.506
30.1875,18.8,1.505
30.19791667,18.6,1.501
30.20833333,18.5,1.498
30.21875,18.4,1.496
30.22916667,18.2,1.493
30.23958333,18.1,1.49
30.25,18,1.488
30.26041667,17.9,1.485
30.27083333,17.8,1.483
30.28125,17.6,1.479
30.29166667,17.5,1.477
30.30208333,17.4,1.475
30.3125,17.3,1.473
30.32291667,17.2,1.47
30.33333333,17.1,1.469
30.34375,17,1.466
30.35416667,16.9,1.464
30.36458333,16.8,1.462
30.375,16.7,1.46
30.38541667,16.6,1.458
30.39583333,16.6,1.457
30.40625,16.5,1.455
30.41666667,16.5,1.454
30.42708333,16.4,1.452
30.4375,16.3,1.45
30.44791667,16.2,1.449
30.45833333,16.2,1.447
30.46875,16.1,1.446
30.47916667,16.1,1.445
30.48958333,16,1.444
30.5,16,1.443
30.51041667,15.9,1.441
30.52083333,15.9,1.441
30.53125,15.8,1.44
30.54166667,15.8,1.439
30.55208333,15.8,1.439
30.5625,15.8,1.438
30.57291667,15.8,1.438
30.58333333,15.8,1.438
30.59375,15.7,1.437
30.60416667,15.7,1.437
30.61458333,15.7,1.436
30.625,15.7,1.437
30.63541667,15.7,1.437
30.64583333,15.6,1.435
30.65625,15.6,1.435
30.66666667,15.6,1.434
30.67708333,15.5,1.433
30.6875,15.5,1.432
30.69791667,15.5,1.431
30.70833333,15.4,1.429
30.71875,15.4,1.429
30.72916667,15.3,1.427
30.73958333,15.2,1.426
30.75,15.2,1.425
30.76041667,15.1,1.424
30.77083333,15.1,1.422
30.78125,15,1.421
30.79166667,15,1.42
30.80208333,14.9,1.418
30.8125,14.8,1.417
30.82291667,14.8,1.415
30.83333333,14.7,1.413
30.84375,14.6,1.411
30.85416667,14.5,1.41
30.86458333,14.5,1.409
30.875,14.4,1.407
30.88541667,14.4,1.406
30.89583333,14.4,1.406
30.90625,14.4,1.406
30.91666667,14.4,1.406
30.92708333,14.4,1.407
30.9375,14.5,1.409
30.94791667,14.5,1.409
30.95833333,14.6,1.411
30.96875,14.6,1.412
30.97916667,14.7,1.413
30.98958333,14.7,1.413